City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,jumla,29.2768,82.1823,8.54,64,86,0.34,NP,1681050423
280,mocambique,-2.9585,-44.042,28.95,72,100,0.16,BR,1681050424
281,kavieng,-2.5735,150.7952,26.93,80,100,3.85,PG,1681050424
282,nome,64.5011,-165.4064,-20.96,84,100,0.0,US,1681049913
283,grindavik,63.8442,-22.4317,9.18,87,100,15.95,IS,1681050425
284,tamandare,-8.75,-35.1046,29.05,68,95,2.79,BR,1681050425
285,akhmim,26.5627,31.7434,38.55,7,64,2.19,EG,1681050426
286,louisbourg,45.9235,-59.9643,1.36,58,81,5.81,CA,1681050426
287,nizwa,22.9324,57.5311,29.38,28,95,2.81,OM,1681050427
288,bambous virieux,-20.3472,57.7647,28.31,74,75,3.09,MU,1681050199
289,muros,40.6781,8.6173,16.25,45,0,3.99,IT,1681050428
290,narsaq,60.9127,-46.0453,1.14,75,100,0.68,GL,1681050428
291,ossora,59.2474,163.0699,-2.94,97,100,3.56,RU,1681050222
292,booue,7.783,-9.166,30.99,52,99,1.68,GN,1681050429
293,alice springs,-23.6984,133.8813,18.75,48,29,0.51,AU,1681050202
294,mezen,65.844,44.2441,0.31,90,99,3.58,RU,1681050430
295,aklavik,68.2183,-135.0136,-21.0,77,75,2.06,CA,1681050430
296,ayer itam,5.4019,100.2778,28.76,83,20,2.57,MY,1681050431
297,kazalinsk,45.7626,62.1012,18.78,30,100,5.61,KZ,1681050431
298,saint-paul,44.9497,-93.0931,14.04,45,0,4.63,US,1681050431
299,fairbanks,64.8378,-147.7167,-13.55,77,100,4.63,US,1681050234
300,chicama,-7.8434,-79.1452,26.27,71,57,2.07,PE,1681050432
301,leh,34.1642,77.5848,-6.27,55,0,1.19,IN,1681050432
302,atagay,55.1016,99.3886,-6.12,85,97,8.28,RU,1681050433
303,eyrarbakki,63.863,-21.1481,9.03,90,100,14.44,IS,1681050433
304,kenai,60.5544,-151.2583,-8.25,67,0,1.54,US,1681050434
305,dentsville,34.0759,-80.9616,10.22,79,20,3.09,US,1681050434
306,sampit,-2.5389,112.9494,23.61,97,100,1.44,ID,1681050435
307,bilma,18.6929,12.9187,39.43,8,78,3.57,NE,1681050435
308,shubarshi,48.5833,57.1839,12.28,36,89,4.0,KZ,1681050435
309,richards bay,-28.7708,32.0578,28.17,73,65,7.04,ZA,1681050436
310,naze,5.452,7.0567,29.73,54,100,1.9,NG,1681050436
311,christchurch,-43.531,172.6366,15.53,91,100,7.72,NZ,1681050437
312,kiruna,68.1667,19.5,-0.98,93,73,1.62,SE,1681050437
313,la orilla,17.9994,-102.2268,25.22,66,100,1.41,MX,1681050437
314,valparaiso,-33.0454,-71.6203,17.67,86,100,2.06,CL,1681050351
315,sao felix do xingu,-6.6387,-51.9788,27.75,71,99,0.86,BR,1681050438
316,messina,38.1938,15.5542,15.92,70,40,4.92,IT,1681050439
317,upernavik,72.7847,-56.147,-18.09,91,89,3.9,GL,1681050223
318,dakar,14.6934,-17.4479,27.49,69,0,8.23,SN,1681050439
319,wajir,1.7505,40.0595,34.97,38,40,1.54,KE,1681050440
320,cabra,37.4718,-4.4336,26.54,19,3,3.35,ES,1681050440
321,iqaluit,63.7494,-68.5219,-23.03,70,20,5.66,CA,1681050441
322,tarko-sale,64.922,77.7795,-13.42,94,100,7.33,RU,1681050441
323,aki,33.5019,133.9072,10.98,77,0,2.34,JP,1681050441
324,san andres,12.5203,122.0117,26.47,81,97,7.88,PH,1681050442
325,hasaki,35.753,140.8201,6.22,51,0,3.96,JP,1681050442
326,otta,61.7712,9.5353,4.71,82,65,2.73,NO,1681050443
327,saint-augustin,48.7859,3.0292,18.49,55,15,2.6,FR,1681050443
328,ciudad bolivar,8.1029,-63.547,30.4,51,93,4.13,VE,1681050444
329,upata,8.0073,-62.3978,28.03,56,94,3.17,VE,1681050444
330,togur,58.3631,82.8265,-9.74,83,100,1.6,RU,1681050073
331,maues,-3.3796,-57.7196,28.62,75,22,1.39,BR,1681050445
332,palmas de monte alto,-14.2636,-43.165,35.14,33,13,0.98,BR,1681050445
333,yulara,-25.241,130.9869,26.47,28,100,6.03,AU,1681050446
334,tarakan,3.3416,117.5986,26.91,76,30,2.52,ID,1681050446
335,anamur,36.0805,32.831,19.32,66,98,3.77,TR,1681050447
336,sorland,61.8986,5.7913,13.51,40,0,2.06,NO,1681050447
337,yanan,13.4843,44.0567,19.14,49,9,5.34,YE,1681050448
338,sao gabriel da cachoeira,-0.125,-67.0814,22.76,100,100,2.06,BR,1681050448
339,smithers,54.7792,-127.1761,5.18,65,100,3.6,CA,1681050448
340,gasa,31.5129,34.4581,28.87,57,100,5.55,PS,1681050449
341,otane,-39.894,176.6247,15.49,96,100,2.14,NZ,1681050449
342,aloleng,16.1235,119.7807,26.73,76,76,1.87,PH,1681050450
343,shingu,33.7241,135.993,8.8,71,0,2.76,JP,1681050450
344,srednekolymsk,67.4555,153.7071,-18.81,98,13,3.66,RU,1681050450
345,warrnambool,-38.3826,142.4814,10.74,74,100,6.62,AU,1681050443
346,codrington,51.5082,-2.3937,15.57,56,100,2.24,GB,1681050221
347,deputatskiy,54.8408,61.127,9.41,42,5,2.74,RU,1681050451
348,wuda,31.203,117.9045,16.27,65,100,2.76,CN,1681050452
349,yurgamysh,55.375,64.4558,7.59,56,11,3.26,RU,1681050452
350,bargal,11.2868,51.078,28.48,69,1,4.01,SO,1681050453
351,grand river south east,-20.2907,57.7852,28.28,74,75,3.09,MU,1681050227
352,hurricane,38.4326,-82.0201,12.17,45,0,1.79,US,1681050252
353,hay river,60.8156,-115.7866,-2.0,93,20,1.54,CA,1681050454
354,nakapiripirit,3.5233,34.1291,26.04,39,72,8.58,UG,1681050455
355,coari,-4.0886,-63.1431,25.86,85,95,1.4,BR,1681050455
356,mandan,46.8264,-100.8897,3.54,87,0,4.12,US,1681050456
357,nouadhibou,20.9127,-17.0503,17.53,85,0,7.64,MR,1681050226
358,pedernales,17.8589,-71.2917,27.99,63,2,4.95,DO,1681050456
359,bud,50.8285,-4.5469,13.9,70,100,2.68,GB,1681050457
360,lavrentiya,65.5838,-171.0058,-19.65,90,100,3.52,RU,1681050457
361,krasnoarmeysk,56.1211,38.1458,12.59,45,99,0.36,RU,1681050458
362,general roca,-39.0266,-67.5755,23.37,42,100,4.0,AR,1681050458
363,alice town,25.3509,-76.4848,23.99,77,0,1.61,BS,1681050459
364,sorvag,68.0369,15.3885,4.78,96,94,2.23,NO,1681050459
365,lianzhou,24.9377,112.4818,17.67,87,65,0.65,CN,1681050459
366,foshan,23.024,113.116,22.14,62,19,3.94,CN,1681050407
